iter	MultiClass
0	2.934655353
1	2.880819954
2	2.835707154
3	2.786838103
4	2.739306751
5	2.702169266
6	2.663254205
7	2.622724347
8	2.587032476
9	2.54892365
10	2.515650618
11	2.485513283
12	2.461810843
13	2.436399978
14	2.412462876
15	2.386573999
16	2.364706438
17	2.344739812
18	2.328054233
19	2.309718257
20	2.290415246
21	2.272015223
22	2.256261634
23	2.236423506
24	2.221618807
25	2.209595496
26	2.195334551
27	2.181975139
28	2.165273322
29	2.150896163
30	2.138342971
31	2.12642759
32	2.11521502
33	2.103492809
34	2.09352801
35	2.082724155
36	2.074502487
37	2.063423478
38	2.054647383
39	2.044539128
40	2.033129902
41	2.020930561
42	2.012932921
43	2.002845212
44	1.994047693
45	1.984043496
46	1.977488955
47	1.968866792
48	1.958892288
49	1.948069738
50	1.939109033
51	1.933215866
52	1.925717402
53	1.916983028
54	1.90843098
55	1.900869232
56	1.892135228
57	1.883283841
58	1.876427907
59	1.869109691
60	1.859817766
61	1.852062986
62	1.848291044
63	1.840840311
64	1.832893797
65	1.826549415
66	1.820651095
67	1.81390241
68	1.807087225
69	1.802504338
70	1.797005788
71	1.79096769
72	1.785897851
73	1.781514101
74	1.775428573
75	1.768782285
76	1.763968704
77	1.756812174
78	1.749840395
79	1.744986295
80	1.737886774
81	1.731640025
82	1.723557762
83	1.717825232
84	1.714048476
85	1.709296412
86	1.705981999
87	1.700154835
88	1.694780535
89	1.689774743
90	1.684918402
91	1.679302472
92	1.674593266
93	1.670633715
94	1.666733294
95	1.662469165
96	1.654254585
97	1.647962747
98	1.644224883
99	1.637509125
100	1.633375764
101	1.626015266
102	1.622387749
103	1.619896919
104	1.614883233
105	1.611254905
106	1.606213351
107	1.602268777
108	1.598927962
109	1.595741935
110	1.591250939
111	1.586268601
112	1.582891135
113	1.578608652
114	1.573508726
115	1.569827791
116	1.565667239
117	1.561346898
118	1.557824786
119	1.553010799
120	1.549917125
121	1.545546317
122	1.542284639
123	1.539229936
124	1.536109487
125	1.531593122
126	1.527669045
127	1.525145328
128	1.523244224
129	1.520069804
130	1.515793034
131	1.511454613
132	1.507771251
133	1.503491241
134	1.501213985
135	1.497437928
136	1.494162144
137	1.491934665
138	1.487005831
139	1.483113825
140	1.479830151
141	1.47700635
142	1.473594232
143	1.470886814
144	1.466974404
145	1.463138407
146	1.458894643
147	1.454446805
148	1.451101981
149	1.447629617
150	1.444379599
151	1.442181883
152	1.438283426
153	1.435149161
154	1.432497334
155	1.429494224
156	1.426980845
157	1.424674527
158	1.422002135
159	1.41730868
160	1.414410651
161	1.411720019
162	1.408471262
163	1.405614757
164	1.401466308
165	1.39770916
166	1.395188798
167	1.391092998
168	1.388422363
169	1.386469397
170	1.38277931
171	1.378762439
172	1.375237001
173	1.373182063
174	1.369756407
175	1.366196432
176	1.363479805
177	1.359447206
178	1.35605433
179	1.353401763
180	1.350689594
181	1.348196002
182	1.344222678
183	1.340998097
184	1.338186302
185	1.335778316
186	1.333588968
187	1.330987686
188	1.326547246
189	1.322239189
190	1.319815919
191	1.31713123
192	1.314749942
193	1.31248472
194	1.31064232
195	1.308096516
196	1.305065092
197	1.302804513
198	1.300255825
199	1.296812387
200	1.294430799
201	1.292119889
202	1.289644013
203	1.286662928
204	1.283823487
205	1.282033769
206	1.276615375
207	1.273416768
208	1.270182017
209	1.267290204
210	1.264527316
211	1.260589277
212	1.25811678
213	1.256347437
214	1.252687902
215	1.250766034
216	1.248522745
217	1.246184726
218	1.244401092
219	1.242463666
220	1.240593689
221	1.237585555
222	1.235512588
223	1.234150346
224	1.231120015
225	1.230034005
226	1.227625885
227	1.224796681
228	1.222244304
229	1.219519182
230	1.217516294
231	1.213136686
232	1.210750519
233	1.207359982
234	1.20487604
235	1.203258272
236	1.200224821
237	1.19780706
238	1.195442657
239	1.191820405
240	1.189151518
241	1.186730767
242	1.184245941
243	1.181658802
244	1.179639356
245	1.177417614
246	1.175594318
247	1.174099766
248	1.170585589
249	1.167859266
250	1.165891701
251	1.163418837
252	1.159084583
253	1.156743155
254	1.154702237
255	1.15296031
256	1.151224747
257	1.149042202
258	1.146651872
259	1.144237376
260	1.141159319
261	1.137752643
262	1.136170777
263	1.134490121
264	1.131789322
265	1.13051099
266	1.12800847
267	1.125300312
268	1.121992236
269	1.119585026
270	1.117835666
271	1.115222975
272	1.113763342
