iter	Passed	Remaining
0	143	143715
1	297	148486
2	440	146283
3	601	149701
4	750	149336
5	926	153518
6	1134	160972
7	1298	161050
8	1455	160261
9	1610	159441
10	1779	160006
11	1981	163162
12	2178	165430
13	2385	168023
14	2588	169966
15	2790	171597
16	2994	173138
17	3193	174201
18	3392	175148
19	3589	175884
20	3846	179298
21	4059	180484
22	4274	181563
23	4492	182705
24	4686	182780
25	4884	182971
26	5082	183160
27	5381	186832
28	5584	186983
29	5806	187758
30	5998	187487
31	6205	187712
32	6394	187375
33	6591	187288
34	6790	187236
35	6990	187179
36	7193	187230
37	7401	187380
38	7644	188358
39	7848	188368
40	8040	188062
41	8237	187895
42	8435	187746
43	8653	188011
44	8844	187696
45	9047	187647
46	9242	187405
47	9459	187605
48	9659	187465
49	9855	187246
50	10044	186901
51	10234	186587
52	10420	186192
53	10617	186010
54	10809	185728
55	11003	185481
56	11193	185176
57	11394	185069
58	11584	184763
59	11846	185592
60	12045	185414
61	12250	185343
62	12433	184923
63	12636	184802
64	12849	184835
65	13054	184746
66	13266	184747
67	13467	184577
68	13690	184719
69	13882	184440
70	14076	184189
71	14277	184019
72	14467	183723
73	14662	183477
74	14862	183300
75	15049	182968
76	15253	182847
77	15458	182724
78	15655	182520
79	15838	182146
80	16161	183360
81	16405	183660
82	16611	183531
83	16815	183370
84	17043	183473
85	17248	183315
86	17444	183068
87	17648	182897
88	17839	182606
89	18036	182365
90	18238	182189
91	18439	181986
92	18641	181802
93	18825	181442
94	19017	181164
95	19222	181007
96	19425	180833
97	19681	181150
98	19884	180972
99	20108	180972
100	20347	181111
101	20570	181105
102	20770	180887
103	20952	180517
104	21134	180144
105	21319	179811
106	21511	179529
107	21698	179217
108	21888	178925
109	22084	178684
110	22279	178438
111	22483	178263
112	22679	178027
113	22885	177866
114	23074	177576
115	23330	177795
116	23540	177662
117	23743	177475
118	23946	177285
119	24146	177073
120	24361	176975
121	24582	176910
122	24779	176681
123	25074	177136
124	25294	177059
125	25493	176837
126	25701	176669
127	25876	176281
128	26104	176257
129	26310	176078
130	26525	175960
131	26724	175732
132	26924	175518
133	27113	175223
134	27308	174976
135	27505	174740
136	27726	174654
137	27908	174325
138	28106	174100
139	28292	173798
140	28485	173537
141	28674	173258
142	28863	172979
143	29049	172685
144	29258	172524
145	29441	172213
146	29641	172002
147	29828	171717
148	30019	171453
149	30207	171173
150	30410	170983
151	30627	170867
152	30821	170626
153	31004	170325
154	31195	170068
155	31484	170339
156	31682	170118
157	31914	170075
158	32106	169819
159	32302	169589
160	32488	169301
161	32681	169056
162	32870	168791
163	33059	168524
164	33257	168305
165	33453	168072
166	33643	167816
167	33847	167623
168	34036	167361
169	34238	167163
170	34431	166924
171	34685	166976
172	34874	166711
173	35069	166478
174	35263	166241
175	35461	166022
176	35645	165741
177	35843	165525
178	36028	165250
179	36229	165045
180	36422	164807
181	36614	164563
182	36817	164370
183	37014	164152
184	37210	163928
185	37398	163670
186	37595	163452
187	37776	163163
188	37975	162953
189	38168	162717
190	38463	162915
191	38668	162731
192	38931	162785
193	39127	162559
194	39339	162402
195	39532	162163
196	39739	161985
197	39929	161734
198	40124	161506
199	40309	161239
200	40499	160992
201	40684	160723
202	40876	160487
203	41065	160234
204	41265	160029
205	41450	159764
206	41696	159736
207	41887	159495
208	42091	159301
209	42276	159040
210	42474	158826
211	42659	158562
212	42851	158328
213	43051	158122
214	43253	157925
215	43437	157660
216	43633	157441
217	43832	157234
218	44032	157030
219	44221	156784
220	44415	156557
221	44601	156307
222	44797	156089
223	44984	155837
224	45179	155619
225	45368	155375
226	45565	155161
227	45756	154929
228	45950	154708
229	46139	154466
230	46402	154472
231	46604	154278
232	46801	154061
233	47016	153908
234	47209	153683
235	47409	153477
236	47599	153241
237	47789	153007
238	47977	152763
239	48175	152555
240	48368	152331
241	48647	152375
242	48847	152170
243	49044	151956
244	49235	151724
245	49492	151696
246	49679	151452
247	49878	151245
248	50071	151017
249	50274	150822
250	50462	150584
251	50672	150408
252	50870	150198
253	51069	149992
254	51261	149765
255	51460	149556
256	51637	149287
257	51830	149063
258	52025	148845
259	52272	148776
260	52470	148566
261	52673	148369
262	52868	148151
263	53064	147938
264	53262	147727
265	53465	147531
266	53653	147296
267	53852	147089
268	54052	146886
269	54262	146710
270	54449	146470
271	54644	146255
272	54832	146019
273	55031	145813
274	55238	145628
275	55437	145422
276	55637	145218
277	55827	144991
278	56027	144789
279	56218	144562
280	56417	144356
281	56611	144138
282	56863	144066
283	57054	143840
284	57262	143657
285	57453	143433
286	57663	143253
287	57845	143007
288	58050	142815
289	58244	142599
290	58436	142376
291	58624	142145
292	58909	142146
293	59124	141979
294	59325	141777
295	59534	141595
296	59751	141433
297	59960	141248
298	60151	141024
299	60349	140814
300	60546	140603
301	60805	140536
302	60994	140307
303	61190	140092
304	61386	139880
305	61582	139666
306	61775	139447
307	61971	139235
308	62172	139033
309	62370	138825
310	62561	138601
311	62757	138387
312	62954	138177
313	63153	137972
314	63358	137779
315	63546	137549
316	63747	137348
317	63939	137127
318	64146	136940
319	64345	136734
320	64543	136525
321	64738	136312
322	64935	136102
323	65119	135866
324	65367	135762
325	65563	135550
326	65758	135337
327	65941	135100
328	66132	134878
329	66333	134677
330	66531	134469
331	66733	134270
332	66931	134063
333	67140	133879
334	67347	133688
335	67539	133470
336	67739	133268
337	67922	133031
338	68148	132879
339	68339	132658
340	68706	132778
341	69050	132851
342	69324	132787
343	69579	132685
344	69763	132449
345	69952	132222
346	70176	132061
347	70383	131868
348	70582	131660
349	70729	131355
350	70942	131173
351	71262	131187
352	71431	130924
353	71606	130671
354	71766	130393
355	72008	130262
356	72247	130125
357	72388	129814
358	72541	129524
359	72682	129213
360	72826	128909
361	72964	128595
362	73114	128303
363	73269	128019
364	73425	127739
365	73566	127434
366	73711	127137
367	73934	126974
368	74131	126766
369	74360	126614
370	74589	126460
371	74740	126174
372	74894	125895
373	75042	125606
374	75207	125346
375	75354	125056
376	75564	124871
377	75744	124637
378	75968	124475
379	76172	124281
380	76420	124157
381	76732	124138
382	77103	124210
383	77568	124432
384	77968	124547
385	78269	124501
